,Unnamed: 0,SGA_ID_1,GALAXY,RA_LEDA,DEC_LEDA,MORPHTYPE,PA_LEDA,D25_LEDA,BA_LEDA,Z_LEDA,SB_D25_LEDA,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,FLUX_W2,FLUX_W3,FLUX_W4,DIST,LUM_W1,LUM_W2,LUM_W3,LUM_W4
2744,4722,72964.0,PGC093078,12.129936,1.3549387,E-S0,67.4,1.2274392,0.6886523,0.06323074,25.25348,783.14935,1809.167,3309.542,2641.5388,1532.995,774.84485,967.206,283.7761676453935,42054147424.02795,25089532959.86597,5578128866.379399,13059514025.999891
149559,291222,364265.0,SDSSJ150407.43+322810.0,226.03093500000003,32.4694674,S?,92.34,0.4216965,0.35892195,0.07011917,24.93448,65.61088,131.62877,231.15959,224.51318,146.98175,813.7835,1209.786,316.2191115762483,4438314463.367255,2987030397.6424108,15238628545.353737,23875222387.172943
66386,137555,650424.0,PGC090586,31.384228500000003,14.7331807,Sc,164.45,0.7834296,0.21978599,0.043897364,25.06648,215.616,567.8169,1286.452,1446.3542,993.08813,5117.8423,11710.202,194.2983081196893,10794752737.648903,7619488691.591631,36140860635.3481,87569982236.18858
134578,266505,15716.0,SDSSJ144734.62+094739.8,221.89431,9.794365199999998,S?,120.22,0.62517273,0.2811901,0.028774573,25.492481,90.89923,133.5609,174.6939,90.77637,53.85104,27.429155,1110.7307,125.95454425501902,284708539.61233,173628805.18565944,40255397.01244047,3499101735.2721643
98147,203513,1279656.0,SDSSJ113154.59+675318.7,172.977513,67.8885458,E?,45.44,0.5821032,0.21232446,0.053639773,25.799482,62.910023,148.46112,297.3933,353.29172,223.69576,791.16626,848.6373,239.09506643020433,3992773631.5506988,2598956329.503829,8228637181.965451,9444158638.416676
200479,377590,937685.0,SDSSJ112234.02+095035.0,170.64178500000003,9.8430878,E?,118.45,0.46451527,0.32210687,0.075526245,25.16948,71.33665,144.88803,253.78918,203.44792,126.21448,428.47797,239.72696,341.88971866907735,4701379787.212897,2998342661.2930136,9067895181.934034,5313611737.96608
97410,202204,1186547.0,PGC1696121,242.963622,23.9192302,E?,24.1,0.36307806,0.38018942,0.06952676,24.79948,53.033234,122.978645,240.2906,223.8315,135.76418,324.2741,84.728386,313.41749558019166,4346780169.479681,2710389291.711227,5552837255.262972,1404179629.3689506
135071,267289,641266.0,PGC3133733,237.14745450000004,52.9870262,,72.37,0.39084092,0.33496544,0.065993324,25.066483,51.536896,87.35007,142.59354,116.54398,75.218056,375.29507,826.384,296.75212531340276,2028978856.0646496,1346200603.7269871,6153240080.660474,14400389200.718016
45544,93796,1194019.0,SDSSJ103413.41+064412.7,158.55591299999998,6.7368454,S?,70.78,0.47863013,0.49545017,0.080903634,25.02648,87.85199,156.71654,250.59705,184.29344,121.73913,339.90048,1164.8085,367.5966023135057,4923260929.809203,3343283237.6625495,8219063339.435805,31114434361.83678
155611,301558,766738.0,PGC750059,35.507850000000005,-27.7743005,,158.0,0.4168694,0.26915348,0.05702011,25.143482,45.429672,68.91285,90.18371,47.3285,23.3485,59.25132,331.29443,254.77749632120495,607358161.0539565,308021559.9936037,657427947.744981,4254946042.562698
38861,80028,996655.0,PGC1446224,346.291899,13.9900917,E?,65.5,0.48194784,0.4466836,0.08014311,24.795483,103.45554,298.65808,739.08484,925.3987,622.5432,1815.1534,3146.2532,363.95018905242625,24233312550.620167,16759204189.933596,43268569088.32376,81723166883.85771
104494,214552,631454.0,SDSSJ123849.39+031405.8,189.7058535,3.2348959,E?,35.48,0.3810658,0.25763214,0.08532336,25.21048,46.360085,113.54145,238.83487,296.76697,189.30508,272.53452,1485.473,388.8568925426747,8871461356.716635,5817573393.638008,6670680256.651671,44293747143.85471
61249,125913,722199.0,SDSSJ082030.01+331628.2,125.125023,33.274511,S?,100.44,0.5420009,0.39355007,0.046634927,25.364481,85.12205,142.29497,190.0352,112.089424,64.72607,43.73325,243.78171,206.82552716737035,947922686.592761,562713738.5260513,216682693.2050953,2024772234.750558
208233,391322,932945.0,SDSSJ121955.05+650517.2,184.9793715,65.0881507,E?,6.94,0.37153524,0.37757218,0.082473055,25.01748,47.939785,100.17846,175.23622,210.81786,148.4202,1070.4193,1162.7786,375.1324612654825,5865117181.992213,4244849582.2370577,28580186965.921356,32302690414.5908
